"orig","dest","year5","age","sex","education","flow"
"AUT","AUT",2000,"0-19","Female","High",0
"AUT","AUT",2000,"0-19","Female","Low",0
"AUT","AUT",2000,"0-19","Female","Middle",0
"AUT","AUT",2000,"0-19","Male","High",0
"AUT","AUT",2000,"0-19","Male","Low",0
"AUT","AUT",2000,"0-19","Male","Middle",0
"AUT","AUT",2000,"20-39","Female","High",0
"AUT","AUT",2000,"20-39","Female","Low",0
"AUT","AUT",2000,"20-39","Female","Middle",0
"AUT","AUT",2000,"20-39","Male","High",0
"AUT","AUT",2000,"20-39","Male","Low",0
"AUT","AUT",2000,"20-39","Male","Middle",0
"AUT","AUT",2000,"40-64","Female","High",0
"AUT","AUT",2000,"40-64","Female","Low",0
"AUT","AUT",2000,"40-64","Female","Middle",0
"AUT","AUT",2000,"40-64","Male","High",0
"AUT","AUT",2000,"40-64","Male","Low",0
"AUT","AUT",2000,"40-64","Male","Middle",0
"AUT","AUT",2000,"65+","Female","High",0
"AUT","AUT",2000,"65+","Female","Low",0
"AUT","AUT",2000,"65+","Female","Middle",0
"AUT","AUT",2000,"65+","Male","High",0
"AUT","AUT",2000,"65+","Male","Low",0
"AUT","AUT",2000,"65+","Male","Middle",0
"AUT","AUT",2005,"0-19","Female","High",0
"AUT","AUT",2005,"0-19","Female","Low",0
"AUT","AUT",2005,"0-19","Female","Middle",0
"AUT","AUT",2005,"0-19","Male","High",0
"AUT","AUT",2005,"0-19","Male","Low",0
"AUT","AUT",2005,"0-19","Male","Middle",0
"AUT","AUT",2005,"20-39","Female","High",0
"AUT","AUT",2005,"20-39","Female","Low",0
"AUT","AUT",2005,"20-39","Female","Middle",0
"AUT","AUT",2005,"20-39","Male","High",0
"AUT","AUT",2005,"20-39","Male","Low",0
"AUT","AUT",2005,"20-39","Male","Middle",0
"AUT","AUT",2005,"40-64","Female","High",0
"AUT","AUT",2005,"40-64","Female","Low",0
"AUT","AUT",2005,"40-64","Female","Middle",0
"AUT","AUT",2005,"40-64","Male","High",0
"AUT","AUT",2005,"40-64","Male","Low",0
"AUT","AUT",2005,"40-64","Male","Middle",0
"AUT","AUT",2005,"65+","Female","High",0
"AUT","AUT",2005,"65+","Female","Low",0
"AUT","AUT",2005,"65+","Female","Middle",0
"AUT","AUT",2005,"65+","Male","High",0
"AUT","AUT",2005,"65+","Male","Low",0
"AUT","AUT",2005,"65+","Male","Middle",0
"AUT","AUT",2010,"0-19","Female","High",0
"AUT","AUT",2010,"0-19","Female","Low",0
"AUT","AUT",2010,"0-19","Female","Middle",0
"AUT","AUT",2010,"0-19","Male","High",0
"AUT","AUT",2010,"0-19","Male","Low",0
"AUT","AUT",2010,"0-19","Male","Middle",0
"AUT","AUT",2010,"20-39","Female","High",0
"AUT","AUT",2010,"20-39","Female","Low",0
"AUT","AUT",2010,"20-39","Female","Middle",0
"AUT","AUT",2010,"20-39","Male","High",0
"AUT","AUT",2010,"20-39","Male","Low",0
"AUT","AUT",2010,"20-39","Male","Middle",0
"AUT","AUT",2010,"40-64","Female","High",0
"AUT","AUT",2010,"40-64","Female","Low",0
"AUT","AUT",2010,"40-64","Female","Middle",0
"AUT","AUT",2010,"40-64","Male","High",0
"AUT","AUT",2010,"40-64","Male","Low",0
"AUT","AUT",2010,"40-64","Male","Middle",0
"AUT","AUT",2010,"65+","Female","High",0
"AUT","AUT",2010,"65+","Female","Low",0
"AUT","AUT",2010,"65+","Female","Middle",0
"AUT","AUT",2010,"65+","Male","High",0
"AUT","AUT",2010,"65+","Male","Low",0
"AUT","AUT",2010,"65+","Male","Middle",0
"AUT","AUT",2015,"0-19","Female","High",0
"AUT","AUT",2015,"0-19","Female","Low",0
"AUT","AUT",2015,"0-19","Female","Middle",0
"AUT","AUT",2015,"0-19","Male","High",0
"AUT","AUT",2015,"0-19","Male","Low",0
"AUT","AUT",2015,"0-19","Male","Middle",0
"AUT","AUT",2015,"20-39","Female","High",0
"AUT","AUT",2015,"20-39","Female","Low",0
"AUT","AUT",2015,"20-39","Female","Middle",0
"AUT","AUT",2015,"20-39","Male","High",0
"AUT","AUT",2015,"20-39","Male","Low",0
"AUT","AUT",2015,"20-39","Male","Middle",0
"AUT","AUT",2015,"40-64","Female","High",0
"AUT","AUT",2015,"40-64","Female","Low",0
"AUT","AUT",2015,"40-64","Female","Middle",0
"AUT","AUT",2015,"40-64","Male","High",0
"AUT","AUT",2015,"40-64","Male","Low",0
"AUT","AUT",2015,"40-64","Male","Middle",0
"AUT","AUT",2015,"65+","Female","High",0
"AUT","AUT",2015,"65+","Female","Low",0
"AUT","AUT",2015,"65+","Female","Middle",0
"AUT","AUT",2015,"65+","Male","High",0
"AUT","AUT",2015,"65+","Male","Low",0
"AUT","AUT",2015,"65+","Male","Middle",0
"AUT","BEL",2000,"0-19","Female","High",0.00102894676333964
"AUT","BEL",2000,"0-19","Female","Low",26.8489263423044
"AUT","BEL",2000,"0-19","Female","Middle",7.71491508243868
"AUT","BEL",2000,"0-19","Male","High",0.000164179078493795
"AUT","BEL",2000,"0-19","Male","Low",29.5120266886263
"AUT","BEL",2000,"0-19","Male","Middle",7.79362507554364
"AUT","BEL",2000,"20-39","Female","High",31.3530026914594
"AUT","BEL",2000,"20-39","Female","Low",28.0002879469391
"AUT","BEL",2000,"20-39","Female","Middle",72.061885779713
"AUT","BEL",2000,"20-39","Male","High",43.6281377483366
"AUT","BEL",2000,"20-39","Male","Low",33.0982102609243
"AUT","BEL",2000,"20-39","Male","Middle",87.5891393170402
"AUT","BEL",2000,"40-64","Female","High",10.8560211910849
"AUT","BEL",2000,"40-64","Female","Low",16.1011485461822
"AUT","BEL",2000,"40-64","Female","Middle",19.6161716344182
"AUT","BEL",2000,"40-64","Male","High",12.598298575654
"AUT","BEL",2000,"40-64","Male","Low",18.7196545942453
