"scen","country","iso3n","period","cob","sex","agegr","edu3","edu_names3","pop","imm","emi"
"Medium","Austria",40,"2020-2024","EU","Female","0-19","e4","Low",34164,3067,1087
"Medium","Austria",40,"2020-2024","EU","Female","0-19","e5","Middle",2967,1937,840
"Medium","Austria",40,"2020-2024","EU","Female","0-19","e6","High",224,2402,1025
"Medium","Austria",40,"2020-2024","EU","Female","20-39","e4","Low",37999,919,241
"Medium","Austria",40,"2020-2024","EU","Female","20-39","e5","Middle",58071,4472,2086
"Medium","Austria",40,"2020-2024","EU","Female","20-39","e6","High",55043,9307,6234
"Medium","Austria",40,"2020-2024","EU","Female","40-64","e4","Low",45299,1034,518
"Medium","Austria",40,"2020-2024","EU","Female","40-64","e5","Middle",68187,2727,2144
"Medium","Austria",40,"2020-2024","EU","Female","40-64","e6","High",55410,3718,3443
"Medium","Austria",40,"2020-2024","EU","Female","65+","e4","Low",26619,325,246
"Medium","Austria",40,"2020-2024","EU","Female","65+","e5","Middle",37146,544,520
"Medium","Austria",40,"2020-2024","EU","Female","65+","e6","High",17768,493,378
"Medium","Austria",40,"2020-2024","EU","Male","0-19","e4","Low",36288,3187,1231
"Medium","Austria",40,"2020-2024","EU","Male","0-19","e5","Middle",2422,2167,917
"Medium","Austria",40,"2020-2024","EU","Male","0-19","e6","High",147,1256,489
"Medium","Austria",40,"2020-2024","EU","Male","20-39","e4","Low",42852,1186,379
"Medium","Austria",40,"2020-2024","EU","Male","20-39","e5","Middle",59433,4708,2523
"Medium","Austria",40,"2020-2024","EU","Male","20-39","e6","High",42197,8060,5107
"Medium","Austria",40,"2020-2024","EU","Male","40-64","e4","Low",39492,943,294
"Medium","Austria",40,"2020-2024","EU","Male","40-64","e5","Middle",66924,2398,2263
"Medium","Austria",40,"2020-2024","EU","Male","40-64","e6","High",46503,3579,3182
"Medium","Austria",40,"2020-2024","EU","Male","65+","e4","Low",8437,169,76
"Medium","Austria",40,"2020-2024","EU","Male","65+","e5","Middle",26140,364,447
"Medium","Austria",40,"2020-2024","EU","Male","65+","e6","High",19497,515,437
"Medium","Austria",40,"2020-2024","NAT","Female","0-19","e4","Low",696542,484,170
"Medium","Austria",40,"2020-2024","NAT","Female","0-19","e5","Middle",52931,316,134
"Medium","Austria",40,"2020-2024","NAT","Female","0-19","e6","High",7334,376,160
"Medium","Austria",40,"2020-2024","NAT","Female","20-39","e4","Low",73492,244,67
"Medium","Austria",40,"2020-2024","NAT","Female","20-39","e5","Middle",340533,815,384
"Medium","Austria",40,"2020-2024","NAT","Female","20-39","e6","High",407702,2147,1460
"Medium","Austria",40,"2020-2024","NAT","Female","40-64","e4","Low",197617,464,242
"Medium","Austria",40,"2020-2024","NAT","Female","40-64","e5","Middle",600862,667,534
"Medium","Austria",40,"2020-2024","NAT","Female","40-64","e6","High",400655,1601,1490
"Medium","Austria",40,"2020-2024","NAT","Female","65+","e4","Low",353663,272,210
"Medium","Austria",40,"2020-2024","NAT","Female","65+","e5","Middle",359705,311,314
"Medium","Austria",40,"2020-2024","NAT","Female","65+","e6","High",103718,457,351
"Medium","Austria",40,"2020-2024","NAT","Male","0-19","e4","Low",751854,514,196
"Medium","Austria",40,"2020-2024","NAT","Male","0-19","e5","Middle",43087,345,142
"Medium","Austria",40,"2020-2024","NAT","Male","0-19","e6","High",5249,220,86
"Medium","Austria",40,"2020-2024","NAT","Male","20-39","e4","Low",99230,279,90
"Medium","Austria",40,"2020-2024","NAT","Male","20-39","e5","Middle",437180,763,413
"Medium","Austria",40,"2020-2024","NAT","Male","20-39","e6","High",317922,1899,1239
"Medium","Austria",40,"2020-2024","NAT","Male","40-64","e4","Low",87912,450,145
"Medium","Austria",40,"2020-2024","NAT","Male","40-64","e5","Middle",701045,536,520
"Medium","Austria",40,"2020-2024","NAT","Male","40-64","e6","High",412766,1553,1385
"Medium","Austria",40,"2020-2024","NAT","Male","65+","e4","Low",106107,218,100
"Medium","Austria",40,"2020-2024","NAT","Male","65+","e5","Middle",365551,227,294
"Medium","Austria",40,"2020-2024","NAT","Male","65+","e6","High",159406,459,397
"Medium","Austria",40,"2020-2024","NEU","Female","0-19","e4","Low",38306,13113,4431
"Medium","Austria",40,"2020-2024","NEU","Female","0-19","e5","Middle",3088,5554,2324
"Medium","Austria",40,"2020-2024","NEU","Female","0-19","e6","High",149,4370,1864
"Medium","Austria",40,"2020-2024","NEU","Female","20-39","e4","Low",66336,7530,1894
"Medium","Austria",40,"2020-2024","NEU","Female","20-39","e5","Middle",60784,11114,5109
"Medium","Austria",40,"2020-2024","NEU","Female","20-39","e6","High",46288,13956,9289
"Medium","Austria",40,"2020-2024","NEU","Female","40-64","e4","Low",116474,4067,1929
"Medium","Austria",40,"2020-2024","NEU","Female","40-64","e5","Middle",58664,3644,2828
