nuts_codes,policy_tags,policy_summary,policy_description,region_origin,links,scope,origin
"['PL711', 'AT322', 'AT312', 'AT226', 'AT223', 'AT212', 'AT126', 'AT123', 'AT314', 'AT321', 'AT335', 'AT334', 'AT333', 'AT315', 'PL913', 'PT300', 'ITH20', 'ITI16', 'ITH51', 'ITC42', 'ITC32', 'ITC20', 'ITC14', 'SI042', 'ITC4D', 'NL341', 'CH051', 'SE332', 'SE322', 'FI1C2', 'FI197', 'FI193', 'SE232', 'SE224', 'SE221', 'SE212', 'FI1D8', 'SI044', 'DE40C', 'DE27B', 'DE40G', 'DE722', 'DE71C', 'DE71B', 'DE716', 'DE715', 'DE600', 'DE501', 'DE256', 'DE255', 'DE24D', 'DE24B', 'DE24A', 'DE249', 'DE247', 'DE246', 'DE258', 'DE259', 'DE25A', 'DE276', 'DE26B', 'DE266', 'DE264', 'DE25C', 'DE25B', 'DE268', 'DE23A', 'DEA17', 'DEA12', 'DE94H', 'DE94F', 'DE94E', 'DE94B', 'DE947', 'DE946', 'DE913', 'DE912', 'DE737', 'DE736', 'DE735', 'DE732', 'DE941', 'DE937', 'DE936', 'DE935', 'DE934', 'DE725', 'DE933', 'DE927', 'DE926', 'DE932', 'DE239', 'DE238', 'DE237', 'BE352', 'BE253', 'BE236', 'BE234', 'BE213', 'BE212', 'BE211', 'BE257', 'BE344', 'BE343', 'BE336', 'DK021', 'DK022', 'DE21G', 'DE219', 'DE211', 'DE21I', 'DE21J', 'DE236', 'DE235', 'DE234', 'DE22A', 'DE229', 'DE224', 'DE228', 'DE146', 'DE11B', 'DE11A', 'DE119', 'DE118', 'DK050', 'DE135', 'DE12C', 'DE12B', 'DE127', 'ES708', 'ES704', 'FRD22', 'FRD11', 'FRB06', 'FRB05', 'FRB03', 'FRB02', 'FRB01', 'ES220', 'ES114', 'ES113', 'ES412', 'ES413', 'ES414', 'ES532', 'ES512', 'ES511', 'FRE11', 'ES418', 'ES417', 'ES416', 'FRL01', 'FRK21', 'FRK14', 'FRJ28', 'FRJ27', 'FRH01', 'FRG04', 'FRG02', 'FRF24', 'FRF23', 'FRF12', 'FRF11', 'FRH04', 'FRJ24', 'FRI34', 'FRI23', 'FRI15', 'DEC06', 'DEC03', 'DEB3K', 'DEB3J', 'DEB3G', 'DEB3D', 'DEE09', 'DEE03', 'DEE02', 'DEB3B', 'DEA5A', 'DEA59', 'DEA54', 'DEA53', 'DEA44', 'DEA43', 'DEA42', 'DEB12', 'DEB15', 'DEB39', 'DEB22', 'DEB1C', 'DEB1B', 'DEB1A', 'DEB17', 'DEF06', 'EL303', 'EL301', 'DEG06', 'DEF0A', 'DEF09', 'DEG0D', 'IE042', 'DEG0P']","['Housing', 'Sustainability', 'Economic development', 'Education', 'Biodiversity', 'Community engagement']","Focus on mobiliy, togetherness and balance between the regions' larger urban areas and rural areas, to create an even development throughout the region. The strategic tracks are: the green transition, education, community engagement and attractiveness. ","Focus on cohesion principles. Include educational offers for all citizens no matter where they live, better  conditions for nature and the environment and a higher priority on the green transition, investigating where past instances of pollution can be cleaned up. Also aims to create more attractive housing and interesting activities that can build a better local community and life quality. ","Nordjylland, Denmark",https://rn.dk/-/media/Rn_dk/Regional-Udvikling/RUS/RUS_2024_2027_tilgaengelig.pdf,Programme,Verified
"['PL711', 'AT322', 'AT312', 'AT226', 'AT223', 'AT212', 'AT126', 'AT123', 'AT314', 'AT321', 'AT335', 'AT334', 'AT333', 'AT315', 'PL913', 'PT300', 'ITH20', 'ITI16', 'ITH51', 'ITC42', 'ITC32', 'ITC20', 'ITC14', 'SI042', 'ITC4D', 'NL341', 'CH051', 'SE332', 'SE322', 'FI1C2', 'FI197', 'FI193', 'SE232', 'SE224', 'SE221', 'SE212', 'FI1D8', 'SI044', 'DE40C', 'DE27B', 'DE40G', 'DE722', 'DE71C', 'DE71B', 'DE716', 'DE715', 'DE600', 'DE501', 'DE256', 'DE255', 'DE24D', 'DE24B', 'DE24A', 'DE249', 'DE247', 'DE246', 'DE258', 'DE259', 'DE25A', 'DE276', 'DE26B', 'DE266', 'DE264', 'DE25C', 'DE25B', 'DE268', 'DE23A', 'DEA17', 'DEA12', 'DE94H', 'DE94F', 'DE94E', 'DE94B', 'DE947', 'DE946', 'DE913', 'DE912', 'DE737', 'DE736', 'DE735', 'DE732', 'DE941', 'DE937', 'DE936', 'DE935', 'DE934', 'DE725', 'DE933', 'DE927', 'DE926', 'DE932', 'DE239', 'DE238', 'DE237', 'BE352', 'BE253', 'BE236', 'BE234', 'BE213', 'BE212', 'BE211', 'BE257', 'BE344', 'BE343', 'BE336', 'DK021', 'DK022', 'DE21G', 'DE219', 'DE211', 'DE21I', 'DE21J', 'DE236', 'DE235', 'DE234', 'DE22A', 'DE229', 'DE224', 'DE228', 'DE146', 'DE11B', 'DE11A', 'DE119', 'DE118', 'DK050', 'DE135', 'DE12C', 'DE12B', 'DE127', 'ES708', 'ES704', 'FRD22', 'FRD11', 'FRB06', 'FRB05', 'FRB03', 'FRB02', 'FRB01', 'ES220', 'ES114', 'ES113', 'ES412', 'ES413', 'ES414', 'ES532', 'ES512', 'ES511', 'FRE11', 'ES418', 'ES417', 'ES416', 'FRL01', 'FRK21', 'FRK14', 'FRJ28', 'FRJ27', 'FRH01', 'FRG04', 'FRG02', 'FRF24', 'FRF23', 'FRF12', 'FRF11', 'FRH04', 'FRJ24', 'FRI34', 'FRI23', 'FRI15', 'DEC06', 'DEC03', 'DEB3K', 'DEB3J', 'DEB3G', 'DEB3D', 'DEE09', 'DEE03', 'DEE02', 'DEB3B', 'DEA5A', 'DEA59', 'DEA54', 'DEA53', 'DEA44', 'DEA43', 'DEA42', 'DEB12', 'DEB15', 'DEB39', 'DEB22', 'DEB1C', 'DEB1B', 'DEB1A', 'DEB17', 'DEF06', 'EL303', 'EL301', 'DEG06', 'DEF0A', 'DEF09', 'DEG0D', 'IE042', 'DEG0P']","['Public health', 'Sustainability', '']",Reduce CO2 emissions in the healthcare sector in the next 5 years by making consumption principles and climate equirements in tendering process. ,"As hospitals emit 75% of the region's CO2, focus on emissions reductions, specifically in the healthcare sector. The emissions stem from patient related articles and medicine but also building/renovations, transportation/shipping and heating/cooling.","Nordjylland, Denmark",https://rn.dk/-/media/Rn_dk/Regional-Udvikling/RUS/RUS_2024_2027_tilgaengelig.pdf,Policy,Verified
"['PL711', 'AT322', 'AT312', 'AT226', 'AT223', 'AT212', 'AT126', 'AT123', 'AT314', 'AT321', 'AT335', 'AT334', 'AT333', 'AT315', 'PL913', 'PT300', 'ITH20', 'ITI16', 'ITH51', 'ITC42', 'ITC32', 'ITC20', 'ITC14', 'SI042', 'ITC4D', 'NL341', 'CH051', 'SE332', 'SE322', 'FI1C2', 'FI197', 'FI193', 'SE232', 'SE224', 'SE221', 'SE212', 'FI1D8', 'SI044', 'DE40C', 'DE27B', 'DE40G', 'DE722', 'DE71C', 'DE71B', 'DE716', 'DE715', 'DE600', 'DE501', 'DE256', 'DE255', 'DE24D', 'DE24B', 'DE24A', 'DE249', 'DE247', 'DE246', 'DE258', 'DE259', 'DE25A', 'DE276', 'DE26B', 'DE266', 'DE264', 'DE25C', 'DE25B', 'DE268', 'DE23A', 'DEA17', 'DEA12', 'DE94H', 'DE94F', 'DE94E', 'DE94B', 'DE947', 'DE946', 'DE913', 'DE912', 'DE737', 'DE736', 'DE735', 'DE732', 'DE941', 'DE937', 'DE936', 'DE935', 'DE934', 'DE725', 'DE933', 'DE927', 'DE926', 'DE932', 'DE239', 'DE238', 'DE237', 'BE352', 'BE253', 'BE236', 'BE234', 'BE213', 'BE212', 'BE211', 'BE257', 'BE344', 'BE343', 'BE336', 'DK021', 'DK022', 'DE21G', 'DE219', 'DE211', 'DE21I', 'DE21J', 'DE236', 'DE235', 'DE234', 'DE22A', 'DE229', 'DE224', 'DE228', 'DE146', 'DE11B', 'DE11A', 'DE119', 'DE118', 'DK050', 'DE135', 'DE12C', 'DE12B', 'DE127', 'ES708', 'ES704', 'FRD22', 'FRD11', 'FRB06', 'FRB05', 'FRB03', 'FRB02', 'FRB01', 'ES220', 'ES114', 'ES113', 'ES412', 'ES413', 'ES414', 'ES532', 'ES512', 'ES511', 'FRE11', 'ES418', 'ES417', 'ES416', 'FRL01', 'FRK21', 'FRK14', 'FRJ28', 'FRJ27', 'FRH01', 'FRG04', 'FRG02', 'FRF24', 'FRF23', 'FRF12', 'FRF11', 'FRH04', 'FRJ24', 'FRI34', 'FRI23', 'FRI15', 'DEC06', 'DEC03', 'DEB3K', 'DEB3J', 'DEB3G', 'DEB3D', 'DEE09', 'DEE03', 'DEE02', 'DEB3B', 'DEA5A', 'DEA59', 'DEA54', 'DEA53', 'DEA44', 'DEA43', 'DEA42', 'DEB12', 'DEB15', 'DEB39', 'DEB22', 'DEB1C', 'DEB1B', 'DEB1A', 'DEB17', 'DEF06', 'EL303', 'EL301', 'DEG06', 'DEF0A', 'DEF09', 'DEG0D', 'IE042', 'DEG0P']","['Youth empowerment', 'Education']","Strengthen the cross-institutional educational offers and activities by creating a better student environment: diversify existing educationsal spaces, create ""campuses"" and develop a better cooperation between youth-educations and local associations.","Ensure academically and socially sustainable education throughout the region through strict capacity determination. In solving this task, the North Jutland focus will be on determining capacities that balance the individual student's free choice and preserve the decentralized educational offer.","Nordjylland, Denmark",https://rn.dk/-/media/Rn_dk/Regional-Udvikling/RUS/RUS_2024_2027_tilgaengelig.pdf,Policy,Verified
"['PL711', 'AT322', 'AT312', 'AT226', 'AT223', 'AT212', 'AT126', 'AT123', 'AT314', 'AT321', 'AT335', 'AT334', 'AT333', 'AT315', 'PL913', 'PT300', 'ITH20', 'ITI16', 'ITH51', 'ITC42', 'ITC32', 'ITC20', 'ITC14', 'SI042', 'ITC4D', 'NL341', 'CH051', 'SE332', 'SE322', 'FI1C2', 'FI197', 'FI193', 'SE232', 'SE224', 'SE221', 'SE212', 'FI1D8', 'SI044', 'DE40C', 'DE27B', 'DE40G', 'DE722', 'DE71C', 'DE71B', 'DE716', 'DE715', 'DE600', 'DE501', 'DE256', 'DE255', 'DE24D', 'DE24B', 'DE24A', 'DE249', 'DE247', 'DE246', 'DE258', 'DE259', 'DE25A', 'DE276', 'DE26B', 'DE266', 'DE264', 'DE25C', 'DE25B', 'DE268', 'DE23A', 'DEA17', 'DEA12', 'DE94H', 'DE94F', 'DE94E', 'DE94B', 'DE947', 'DE946', 'DE913', 'DE912', 'DE737', 'DE736', 'DE735', 'DE732', 'DE941', 'DE937', 'DE936', 'DE935', 'DE934', 'DE725', 'DE933', 'DE927', 'DE926', 'DE932', 'DE239', 'DE238', 'DE237', 'BE352', 'BE253', 'BE236', 'BE234', 'BE213', 'BE212', 'BE211', 'BE257', 'BE344', 'BE343', 'BE336', 'DK021', 'DK022', 'DE21G', 'DE219', 'DE211', 'DE21I', 'DE21J', 'DE236', 'DE235', 'DE234', 'DE22A', 'DE229', 'DE224', 'DE228', 'DE146', 'DE11B', 'DE11A', 'DE119', 'DE118', 'DK050', 'DE135', 'DE12C', 'DE12B', 'DE127', 'ES708', 'ES704', 'FRD22', 'FRD11', 'FRB06', 'FRB05', 'FRB03', 'FRB02', 'FRB01', 'ES220', 'ES114', 'ES113', 'ES412', 'ES413', 'ES414', 'ES532', 'ES512', 'ES511', 'FRE11', 'ES418', 'ES417', 'ES416', 'FRL01', 'FRK21', 'FRK14', 'FRJ28', 'FRJ27', 'FRH01', 'FRG04', 'FRG02', 'FRF24', 'FRF23', 'FRF12', 'FRF11', 'FRH04', 'FRJ24', 'FRI34', 'FRI23', 'FRI15', 'DEC06', 'DEC03', 'DEB3K', 'DEB3J', 'DEB3G', 'DEB3D', 'DEE09', 'DEE03', 'DEE02', 'DEB3B', 'DEA5A', 'DEA59', 'DEA54', 'DEA53', 'DEA44', 'DEA43', 'DEA42', 'DEB12', 'DEB15', 'DEB39', 'DEB22', 'DEB1C', 'DEB1B', 'DEB1A', 'DEB17', 'DEF06', 'EL303', 'EL301', 'DEG06', 'DEF0A', 'DEF09', 'DEG0D', 'IE042', 'DEG0P']","['Youth empowerment', 'Education']",Partner with private technology companies and tech insitutions to create initiatives that support and motivate young people and adults to take a STEM education.,"Establish a broad and binding partnership between the region's educational institutions, the Region, municipalities, buisnesses and business associations, as well as tech conglomorates and start-ups. Anchor the partnership with the regional Labour Market Office.","Nordjylland, Denmark",https://rn.dk/-/media/Rn_dk/Regional-Udvikling/RUS/RUS_2024_2027_tilgaengelig.pdf,Policy,Verified
"['PL711', 'AT322', 'AT312', 'AT226', 'AT223', 'AT212', 'AT126', 'AT123', 'AT314', 'AT321', 'AT335', 'AT334', 'AT333', 'AT315', 'PL913', 'PT300', 'ITH20', 'ITI16', 'ITH51', 'ITC42', 'ITC32', 'ITC20', 'ITC14', 'SI042', 'ITC4D', 'NL341', 'CH051', 'SE332', 'SE322', 'FI1C2', 'FI197', 'FI193', 'SE232', 'SE224', 'SE221', 'SE212', 'FI1D8', 'SI044', 'DE40C', 'DE27B', 'DE40G', 'DE722', 'DE71C', 'DE71B', 'DE716', 'DE715', 'DE600', 'DE501', 'DE256', 'DE255', 'DE24D', 'DE24B', 'DE24A', 'DE249', 'DE247', 'DE246', 'DE258', 'DE259', 'DE25A', 'DE276', 'DE26B', 'DE266', 'DE264', 'DE25C', 'DE25B', 'DE268', 'DE23A', 'DEA17', 'DEA12', 'DE94H', 'DE94F', 'DE94E', 'DE94B', 'DE947', 'DE946', 'DE913', 'DE912', 'DE737', 'DE736', 'DE735', 'DE732', 'DE941', 'DE937', 'DE936', 'DE935', 'DE934', 'DE725', 'DE933', 'DE927', 'DE926', 'DE932', 'DE239', 'DE238', 'DE237', 'BE352', 'BE253', 'BE236', 'BE234', 'BE213', 'BE212', 'BE211', 'BE257', 'BE344', 'BE343', 'BE336', 'DK021', 'DK022', 'DE21G', 'DE219', 'DE211', 'DE21I', 'DE21J', 'DE236', 'DE235', 'DE234', 'DE22A', 'DE229', 'DE224', 'DE228', 'DE146', 'DE11B', 'DE11A', 'DE119', 'DE118', 'DK050', 'DE135', 'DE12C', 'DE12B', 'DE127', 'ES708', 'ES704', 'FRD22', 'FRD11', 'FRB06', 'FRB05', 'FRB03', 'FRB02', 'FRB01', 'ES220', 'ES114', 'ES113', 'ES412', 'ES413', 'ES414', 'ES532', 'ES512', 'ES511', 'FRE11', 'ES418', 'ES417', 'ES416', 'FRL01', 'FRK21', 'FRK14', 'FRJ28', 'FRJ27', 'FRH01', 'FRG04', 'FRG02', 'FRF24', 'FRF23', 'FRF12', 'FRF11', 'FRH04', 'FRJ24', 'FRI34', 'FRI23', 'FRI15', 'DEC06', 'DEC03', 'DEB3K', 'DEB3J', 'DEB3G', 'DEB3D', 'DEE09', 'DEE03', 'DEE02', 'DEB3B', 'DEA5A', 'DEA59', 'DEA54', 'DEA53', 'DEA44', 'DEA43', 'DEA42', 'DEB12', 'DEB15', 'DEB39', 'DEB22', 'DEB1C', 'DEB1B', 'DEB1A', 'DEB17', 'DEF06', 'EL303', 'EL301', 'DEG06', 'DEF0A', 'DEF09', 'DEG0D', 'IE042', 'DEG0P']","['Transportation', 'Youth empowerment', 'Education', 'Infrastructure']",Structure regional bus-routes so they match local education institutes' timetables. Do this by establishing a close collaboration between the regional transport companies and help them plan the optimal bus schedules. ,Make sure the public transportation ressources match the needs of young students to keep them invested in local education offers. Investage if there are holes and gaps in the local time schedules of the transport companies and help allocate ressources and cooperation to better align the students' needs. ,"Nordjylland, Denmark",https://rn.dk/-/media/Rn_dk/Regional-Udvikling/RUS/RUS_2024_2027_tilgaengelig.pdf,Policy,Verified
"['AT221', 'SI041', 'PL911', 'NL113', 'NL230', 'NL310', 'NL337', 'NL332', 'NL329', 'NL327', 'HU110', 'LU000', 'CH057', 'CH056', 'CH052', 'CH032', 'FI1B1', 'SE110', 'DE71E', 'DE71D', 'DE71A', 'DE718', 'DE714', 'DE712', 'DE711', 'DE254', 'DE251', 'DE241', 'DE274', 'DE272', 'DE731', 'DE943', 'DK012', 'DK011', 'CZ010', 'BE251', 'BE242', 'DK013', 'DE21E', 'DE21D', 'DE218', 'DE212', 'DE149', 'DE148', 'DE223', 'DE221', 'DE143', 'DE142', 'DE141', 'DE136', 'FR104', 'FR103', 'FR101', 'ES709', 'FR105', 'FR106', 'FR108', 'ES300', 'FRK26', 'IE061']","['Sustainability', 'Economic development', 'Regional development', 'Governance']","Focus on regional development through sustainability in three key policy aspects - economic, social and green. Do this with a strong cooperation between the region and bigger society as well as creating initiatives rooted in core promises made to citizens' in each municipality.","To become a more attractive region with room for different citizens' ambitions and goals, the region has to involve and collaborate with citizen groups to better understand where their needs cross-over, particularly when it comes to pushing growth, sustainability and inclusion. 

Being close to nature, interesting cultural offerings, good jobs and education opportunities are key strategic areas to focus on.","Nordsjælland, Denmark",https://app-rsjdxp-cms-prod-001.azurewebsites.net/media/k12b5ctf/udvikling-taet-paa-dig-region-sjaellands-udviklingsstrategi-2024-2033_web.pdf,Programme,Verified
"['AT221', 'SI041', 'PL911', 'NL113', 'NL230', 'NL310', 'NL337', 'NL332', 'NL329', 'NL327', 'HU110', 'LU000', 'CH057', 'CH056', 'CH052', 'CH032', 'FI1B1', 'SE110', 'DE71E', 'DE71D', 'DE71A', 'DE718', 'DE714', 'DE712', 'DE711', 'DE254', 'DE251', 'DE241', 'DE274', 'DE272', 'DE731', 'DE943', 'DK012', 'DK011', 'CZ010', 'BE251', 'BE242', 'DK013', 'DE21E', 'DE21D', 'DE218', 'DE212', 'DE149', 'DE148', 'DE223', 'DE221', 'DE143', 'DE142', 'DE141', 'DE136', 'FR104', 'FR103', 'FR101', 'ES709', 'FR105', 'FR106', 'FR108', 'ES300', 'FRK26', 'IE061']","['Transportation', 'Youth empowerment', 'Infrastructure']",The one-hour region - ensure that the travel-time across the region is maximum one hour in multiple directions. ,"Through coordinated transport companies, infrastructure improvements and traffic analysis, create a uniform, equitable travel-time within the region, to make it more attractive, easy and quick to use public transportation in the region. This also makes travel in general more accesible and affordable. ","Nordsjælland, Denmark",https://app-rsjdxp-cms-prod-001.azurewebsites.net/media/k12b5ctf/udvikling-taet-paa-dig-region-sjaellands-udviklingsstrategi-2024-2033_web.pdf,Policy,Verified
"['AT221', 'SI041', 'PL911', 'NL113', 'NL230', 'NL310', 'NL337', 'NL332', 'NL329', 'NL327', 'HU110', 'LU000', 'CH057', 'CH056', 'CH052', 'CH032', 'FI1B1', 'SE110', 'DE71E', 'DE71D', 'DE71A', 'DE718', 'DE714', 'DE712', 'DE711', 'DE254', 'DE251', 'DE241', 'DE274', 'DE272', 'DE731', 'DE943', 'DK012', 'DK011', 'CZ010', 'BE251', 'BE242', 'DK013', 'DE21E', 'DE21D', 'DE218', 'DE212', 'DE149', 'DE148', 'DE223', 'DE221', 'DE143', 'DE142', 'DE141', 'DE136', 'FR104', 'FR103', 'FR101', 'ES709', 'FR105', 'FR106', 'FR108', 'ES300', 'FRK26', 'IE061']","['Transportation', 'Youth empowerment', 'Infrastructure', 'Sustainability', 'Climate change', 'Innovation', 'Environmental protection']",Set the goal of 100% green public transportation within the scope of 5-10 years. ,"Support the increasing percentage of citizens who wish to travel green and climate friendly. Phase out diesel busses with electirc ones and create more flexible traffic solutions, to bring down emissions.  ","Nordsjælland, Denmark",https://app-rsjdxp-cms-prod-001.azurewebsites.net/media/k12b5ctf/udvikling-taet-paa-dig-region-sjaellands-udviklingsstrategi-2024-2033_web.pdf,Policy,Verified
"['AT311', 'AT213', 'AT124', 'AT122', 'ITC13', 'ITI19', 'ITI42', 'FI1C5', 'FI1C4', 'SE231', 'SE214', 'SE125', 'SE123', 'SE122', 'SE211', 'DE40B', 'DE407', 'DE40F', 'DE80O', 'DE80M', 'DE80K', 'DE917', 'DE918', 'DE923', 'BG411', 'BE223', 'BE345', 'BE323', 'DK032', 'DEA38', 'FRD13', 'FRD12', 'FRC22', 'FRC13', 'FRC12', 'ES411', 'ES243', 'ES241', 'ES130', 'ES514', 'ES513', 'ES419', 'FRE12', 'FRK22', 'FRK13', 'FRK12', 'FRK11', 'FRG05', 'FRG03', 'FRF34', 'FRF33', 'FRF32', 'FRI11', 'FRI13', 'FRJ25', 'FRJ14', 'FRI22', 'FRI21', 'DED2E', 'DED42', 'DED43', 'DED45', 'DEA57', 'DEB31', 'EL307', 'EL302', 'DEG0B', 'DEG0A', 'DEG0E', 'IE052', 'IE051', 'IE041', 'DEG0M', 'DEG0L', 'DEG0K', 'DEG0J', 'DEG0I', 'DEG0G']","['Community engagement', 'Social inclusion', 'Regional development']","Create a cohesive and attractive region by strengthening dialogue with citizens as well as international and cross-border regions, to ensure that lived experience and perspectives are reflected in policies, solutions and results.  ","No single institution or solution can improve the life quality of citizens . It takes cooperation, partnerships and initiatives that promote physical and mental health, including more gatherings and togetherness. ","Sydjylland, Denmark",https://regionsyddanmark.dk/media/tvznkq3j/web-regional-udviklingsstrategi-2024-2027.pdf,Programme,Verified
"['AT311', 'AT213', 'AT124', 'AT122', 'ITC13', 'ITI19', 'ITI42', 'FI1C5', 'FI1C4', 'SE231', 'SE214', 'SE125', 'SE123', 'SE122', 'SE211', 'DE40B', 'DE407', 'DE40F', 'DE80O', 'DE80M', 'DE80K', 'DE917', 'DE918', 'DE923', 'BG411', 'BE223', 'BE345', 'BE323', 'DK032', 'DEA38', 'FRD13', 'FRD12', 'FRC22', 'FRC13', 'FRC12', 'ES411', 'ES243', 'ES241', 'ES130', 'ES514', 'ES513', 'ES419', 'FRE12', 'FRK22', 'FRK13', 'FRK12', 'FRK11', 'FRG05', 'FRG03', 'FRF34', 'FRF33', 'FRF32', 'FRI11', 'FRI13', 'FRJ25', 'FRJ14', 'FRI22', 'FRI21', 'DED2E', 'DED42', 'DED43', 'DED45', 'DEA57', 'DEB31', 'EL307', 'EL302', 'DEG0B', 'DEG0A', 'DEG0E', 'IE052', 'IE051', 'IE041', 'DEG0M', 'DEG0L', 'DEG0K', 'DEG0J', 'DEG0I', 'DEG0G']","['Sustainability', 'Climate change', 'Community engagement', 'Innovation', 'Social inclusion', 'Environmental protection']","Organise a climate-change-policy-democracy festival, to inspire all age groups and create citizen engagment in sustainable solution finding. ","A thematic democracy festival can be centered around a stage and an agora of stands from local businesses, associations, municipal offices/authorities, churches, youth associations, educational institutes etc. 

The stage can facilitate talks and panel debates with local and outsider experts, policymakers and citizens, discussing challenges and sollutions. It is usually hosted over a period of 2-3 days and includes local food vendors and festival infrastructure to ensure broad participation. Appoint a working group and funds for the festival and set goals before starting the planning. ","Sydjylland, Denmark",https://regionsyddanmark.dk/media/tvznkq3j/web-regional-udviklingsstrategi-2024-2027.pdf,Policy,Verified
